Skeleton_ID,Skeleton_Comment,Node_ID,X,Y,Z,Radius,Node_Comment,index,From_Soma?,Branch_node?,End_node?,Dendrite_Level,Euclidean_Distance_From_Soma,Sholl_Classification,Parent_ID
118,,15225,25930,3717,1032,1.5,.,3993,.,.,.,primary,414.6685423323067,Basal,15224
118,,15226,25920,3693,1018,1.5,.,3994,.,.,.,primary,443.3801980242239,Basal,15225
118,,15227,25942,3661,1007,1.5,.,3995,.,.,.,primary,471.6979966037592,Basal,15226
118,,15228,25945,3635,997,1.5,.,3996,.,.,.,primary,498.5519030151224,Basal,15227
118,,15229,25968,3630,949,1.5,.,3997,.,.,yes,primary,516.6294610259853,Basal,15228
118,,15230,26122,4029,1034,1.5,dend_005,3998,yes,.,.,primary,165.63212248836274,Apical,15191
118,,15231,26125,4013,1003,1.5,.,3999,.,.,.,primary,196.84003657792792,Apical,15230
118,,15232,26175,3957,944,1.5,.,4000,.,.,.,primary,291.1649017309607,Apical,15231
118,,15233,26195,3924,894,1.5,.,4001,.,.,.,primary,353.23646470884063,Apical,15232
118,,15234,26214,3867,852,1.5,.,4002,.,.,.,primary,422.20137375427856,Apical,15233
118,,15235,26232,3850,843,1.5,.,4003,.,yes,.,secondary,446.0515665256653,Apical,15234
118,,15236,26279,3840,833,1.5,.,4004,.,.,.,secondary,481.2826612293445,Apical,15235
118,,15237,26350,3825,789,1.5,.,4005,.,.,.,secondary,556.8581506990806,Apical,15236
118,,15238,26371,3823,771,1.5,.,4006,.,.,.,secondary,581.7611193608593,Apical,15237
118,,15239,26399,3830,761,1.5,.,4007,.,.,.,secondary,601.8346949121494,Apical,15238
118,,15240,26437,3818,753,1.5,.,4008,.,.,.,secondary,636.1831497296985,Apical,15239
118,,15241,26472,3803,743,1.5,.,4009,.,.,.,secondary,671.7879129606307,Apical,15240
118,,15242,26506,3806,741,1.5,.,4010,.,.,.,secondary,694.5689310644409,Apical,15241
118,,15243,26527,3809,731,1.5,.,4011,.,.,.,secondary,713.7324428663727,Apical,15242
118,,15244,26548,3802,717,1.5,.,4012,.,.,.,secondary,739.4930696091749,Apical,15243
118,,15245,26578,3795,709,1.5,.,4013,.,.,yes,secondary,768.1998437906636,Apical,15244
118,,15246,26235,3847,833,1.5,.,4014,.,.,.,secondary,456.0153506188141,Basal,15235
118,,15247,26237,3800,825,1.5,.,4015,.,.,.,secondary,489.99285709079476,Basal,15246
118,,15248,26246,3758,803,1.5,.,4016,.,.,yes,secondary,534.6344545575042,Basal,15247
118,,15249,26059,4237,1112,1.5,dend_006,4017,yes,.,.,primary,143.41896666759246,Basal,15191
118,,15250,26068,4289,1078,1.5,.,4018,.,.,.,primary,204.14210736641277,Basal,15249
118,,15251,26052,4371,1040,1.5,.,4019,.,.,.,primary,291.5304443793135,Basal,15250
118,,15252,26040,4397,1018,1.5,.,4020,.,.,.,primary,323.37284981890485,Basal,15251
118,,15253,25997,4467,980,1.5,.,4021,.,.,.,primary,403.9170706964488,Basal,15252
